Year;Rank;School;Location;VCE_Studies;VCE_Stsnts;VCE_Compl_%;Median_VCE_Score;VCE_40+_%;VCEs_40+;VCEs_48+;VCEs_50;Stdnts_40+;Stdnts_48+;Stdnts_50
2012;223;Heywood and District Secondary College;Heywood;28;36;100;27;5,9;2;0;0;2;0;0
2012;224;Highvale Secondary College;Glen Waverley;40;185;100;31;8,2;53;1;0;33;1;0
2012;225;Highview Christian Community College;Maryborough;35;72;100;30;9,2;20;1;0;14;1;0
2012;226;Hillcrest Christian College;Clyde North;29;159;97;30;5,4;16;0;0;9;0;0
2012;227;Holmes Secondary College;Melbourne;12;23;65;26;4,5;3;1;1;1;1;1
2012;228;Holmesglen Institute of TAFE Holmesglen;Chadstone;17;90;83;26;1,5;1;0;0;1;0;0
2012;229;Holmesglen Institute of TAFE Moorabbin;Moorabbin;21;14;0;0;0;0;0;0;0;0;0
2012;230;Hopetoun P-12 College;Hopetoun;14;16;100;29;3,1;2;0;0;2;0;0
2012;231;Hoppers Crossing Secondary College;Hoppers Crossing;38;175;97;25;2,2;11;1;0;7;1;0
2012;232;Horsham College;Horsham;46;149;95;30;9;41;2;2;28;2;2
2012;233;Hume Anglican Grammar;Mickleham;17;15;100;28;0;0;0;0;0;0;0
2012;234;Hume Central Secondary College Town Park;Broadmeadows;31;110;99;24;0,7;3;2;0;2;1;0
2012;235;Huntingtower School;Mount Waverley;37;134;100;36;29,5;111;12;5;66;9;5
2012;236;Ilim College of Australia;Broadmeadows;21;64;100;29;5,2;10;0;0;9;0;0
2012;237;Iranian Cultural School;Doncaster East;;;;;;2;0;0;2;0;0
2012;238;Ivanhoe Girls Grammar School;Ivanhoe;43;244;100;34;20,4;146;10;7;93;9;6
2012;239;Ivanhoe Grammar School Plenty;Doreen;27;87;100;32;9,9;28;2;0;20;2;0
2012;240;Ivanhoe Grammar School Ridgeway;Ivanhoe;44;295;99;34;19,3;180;12;5;102;10;4
2012;;;;;;;;;;;;;;
2012;241;John Fawkner College;Fawkner;18;53;93;24;1;1;0;0;1;0;0
2012;242;John Monash Science School;Clayton;42;406;100;35;22,9;246;21;10;154;19;9
2012;243;John Paul College;Frankston;42;160;100;29;4,9;25;0;0;19;0;0
2012;244;Kambrya College;Berwick;61;165;98;29;3,8;14;0;0;8;0;0
2012;245;Kangan Institute of TAFE;Broadmeadows;27;70;48;22;0;0;0;0;0;0;0
2012;246;Kaniva P-12 College;Kaniva;16;13;100;32;8,7;3;0;0;3;0;0
2012;247;Kardinia International College;Bell Post Hill;49;294;100;32;9,1;86;5;2;64;5;2
2012;248;Keilor Downs College;Keilor Downs;54;237;95;28;2,8;26;2;0;19;2;0
2012;249;Kensington Community High School;Kensington;12;0;0;0;0;0;0;0;0;0;0
2012;250;Kerang Technical High School;Kerang;30;64;93;26;2,3;5;0;0;5;0;0
2012;251;Kew High School;Kew East;53;295;99;31;8;74;3;1;61;3;1
2012;252;Keysborough Learning Centre;Keysborough;0;0;0;0;0;0;0;0;0;0;0
2012;253;Keysborough Secondary College Acacia;Keysborough;46;106;99;25;1,8;5;0;0;5;0;0
2012;254;Keysborough Secondary College Banksia;Springvale South;44;187;97;26;2;9;0;0;8;0;0
2012;255;Kilbreda College;Mentone;41;225;99;32;11,6;78;5;2;48;5;2
2012;256;Killester College;Springvale;45;180;100;30;4,2;26;0;0;22;0;0
2012;257;Kilvington Grammar School;Ormond;27;83;100;34;20,5;42;7;1;26;6;1
2012;258;Kings College;Warrnambool;17;35;100;29;3,7;2;0;0;2;0;0
2012;259;Kingswood College;Box Hill;36;96;100;32;8,1;29;2;1;21;2;1
2012;260;Kolbe Catholic College;Greenvale Lakes;2;0;0;0;0;0;0;0;0;0;0
2012;261;Koo Wee Rup Secondary College;Koo Wee Rup;41;112;100;29;4,4;13;0;0;11;0;0
2012;262;Koonung Secondary College;Mont Albert North;43;250;100;32;10,6;91;6;2;60;5;2
2012;263;Korean Language School of Melbourne;Prahran;;;;;;4;0;0;4;0;0
2012;264;Korowa Anglican Girls School;Glen Iris;35;139;100;37;28,9;131;11;7;68;10;7
2012;265;Korumburra Secondary College;Korumburra;36;77;95;28;2,4;5;0;0;5;0;0
2012;266;Kurnai College Churchill Campus;Churchill;54;250;93;26;0,9;0;0;0;0;0;0
2012;267;Kurnai College University Campus;Churchill;;;;;;4;0;0;3;0;0
2012;268;Kurunjang Secondary College;Melton;32;100;97;24;0,3;1;0;0;1;0;0
2012;269;Kyabram Secondary College;Kyabram;51;171;97;28;1;2;1;1;2;1;1
2012;270;Kyneton High School;Kyneton;41;102;100;27;1;2;0;0;2;0;0
2012;271;Lac Hong Vietnamese School St Albans;St Albans;;;;;;3;0;0;3;0;0
2012;272;Lac Viet Vietnamese Language School;Hoppers Crossing;;;;;;2;0;0;2;0;0
2012;273;Lake Bolac College;Lake Bolac;9;12;100;29;6,8;3;0;0;3;0;0
2012;274;Lakes Entrance Secondary College;Lakes Entrance;22;39;95;25;4;4;0;0;2;0;0
2012;275;Lakeside Lutheran College;Pakenham;12;15;100;28;0;0;0;0;0;0;0
2012;276;Lakeview Senior College;Caroline Springs;55;235;99;26;2,8;22;1;0;10;1;0
2012;277;Lalor North Secondary College;Epping;34;90;92;25;0,6;2;0;0;2;0;0
2012;278;Lalor Secondary College;Lalor;44;180;98;27;4,3;22;1;0;17;1;0
2012;279;Lara Secondary College;Lara;41;99;100;27;0,5;2;0;0;2;0;0
2012;280;Lauriston Girls School;Armadale;26;102;100;37;39,8;105;10;5;53;6;4
2012;281;Lavalla Catholic College;Traralgon;49;214;96;29;3,4;21;0;0;12;0;0
2012;282;Lavers Hill K-12 College;Lavers Hill;6;0;0;0;0;0;0;0;0;0;0
2012;283;Laverton P-12 College;Laverton;29;46;98;22;0;0;0;0;0;0;0
2012;284;Leibler Yavneh College;Elsternwick;26;83;100;37;32,1;53;7;4;24;5;3
2012;285;Leongatha Secondary College;Leongatha;46;94;95;28;2,2;2;0;0;2;0;0
2012;286;Lighthouse Christian College;Keysborough;20;41;100;30;7,6;9;1;0;7;1;0
2012;287;Lilydale Adventist Academy;Lilydale;16;25;100;30;4,5;6;1;1;5;1;1
2012;288;Lilydale Heights College;Lilydale;38;84;99;26;2,1;7;1;0;6;1;0
2012;289;Lilydale High School;Lilydale;49;286;99;28;3,7;29;0;0;22;0;0
2012;290;Little Yarra Steiner School;Yarra Junction;10;23;100;0;0;0;0;0;0;0;0
2012;291;Loreto College;Ballarat;37;189;100;32;10,4;70;5;4;48;5;4
2012;292;Loreto Mandeville Hall;Toorak;39;194;100;35;22,5;126;11;5;78;9;3
2012;293;Lorne-Aireys Inlet P-12 College;Lorne;19;18;100;28;0;0;0;0;0;0;0
2012;294;Lowanna College;Newborough;42;140;98;27;1;3;0;0;3;0;0
2012;295;Lowther Hall Anglican Grammar School;Essendon;38;106;100;36;23,8;64;7;1;45;5;1
2012;296;Loyola College;Watsonia;45;222;100;30;5,5;41;2;1;31;2;1
2012;297;Luther College;Croydon Hills;37;298;100;33;12,5;114;12;5;77;11;4
2012;298;Lynall Hall Community School;Richmond;9;12;67;21;0;0;0;0;0;0;0
2012;299;Lyndale Secondary College;Dandenong North;49;201;98;27;1,9;12;0;0;9;0;0
2012;300;Lyndhurst Secondary College;Cranbourne;34;168;94;23;0,7;3;0;0;3;0;0
2012;301;MacKillop Catholic Regional College;Werribee;53;241;96;31;5,4;40;1;1;32;1;1
2012;302;Macleod College;Macleod;42;145;97;27;4;19;0;0;14;0;0
2012;303;Macrobertson Girls High School;Melbourne;48;489;100;38;39;432;28;11;238;27;11
2012;304;Maffra Secondary College;Maffra;33;116;99;28;6;20;0;0;14;0;0
