Year;Rank;School;Location;Median_VCE_Score
2018;502;St Albans Secondary College;St Albans;30
2018;503;St Aloysius College;North Melbourne;30
2018;504;St Andrews Christian College;Wantirna South;31
2018;505;St Arnaud Secondary College;St Arnaud;24
2018;506;St Augustines College;Kyabram;28
2018;507;St Bedes College;Mentone;30
2018;508;St Bernards College;Essendon;31
2018;509;St Brigids College;Horsham;28
2018;510;St Catherines School;Toorak;35
2018;511;St Columbas College;Essendon;32
2018;512;St Francis Xavier College;Beaconsfield;30
2018;513;St Helena Secondary College;Eltham North;29
2018;514;St Johns Greek Orthodox College;Preston;29
2018;515;St Johns Regional College;Dandenong;27
2018;516;St Josephs College Echuca;Echuca;29
2018;517;St Josephs College Ferntree Gully;Ferntree Gully;30
2018;518;St Josephs College Geelong;Newtown;31
2018;519;St Josephs College Mildura;Mildura;29
2018;520;St Kevins College;Toorak;36
2018;521;St Leonards College;Brighton East;34
2018;522;St Margarets Berwick Grammar Berwick Campus;Berwick;34
2018;523;St Margarets Berwick Grammar Officer Campus;Officer;33
2018;524;St Mary MacKillop College;Swan Hill;30
2018;525;St Mary of the Angels College;Nathalia;30
2018;526;St Marys Coptic Orthodox College;Coolaroo;27
2018;527;St Michaels Grammar School;St Kilda;34
2018;528;St Monicas College;Epping;29
2018;529;St Patricks College;Ballarat;30
2018;530;St Pauls Anglican Grammar School;Warragul;33
2018;531;St Peters College;Cranbourne;27
2018;532;St Thomas Aquinas College;Tynong;32
2018;533;Star of the Sea College;Brighton;34
2018;534;Staughton College;Melton South;26
2018;535;Stawell Secondary College;Stawell;26
2018;536;Stonnington School of Dance;Murrumbeena;N/A
2018;537;Stotts Colleges Melbourne;Melbourne;25
2018;538;Strathcona Girls Grammar School;Canterbury;35
2018;539;Strathmore Secondary College;Strathmore;31
2018;540;Sunbury College;Sunbury;26
2018;541;Sunbury Downs Secondary College;Sunbury;31
2018;542;Sunraysia Institute of TAFE;Mildura;0
2018;543;Sunshine College;Sunshine West;29
2018;544;Surf Coast Secondary College;Torquay;28
2018;545;Suzanne Cory High School;Werribee;34
2018;546;Swan Hill College;Swan Hill;27
2018;547;Swifts Creek P-12 School;Swifts Creek;24
2018;548;Swinburne Senior Secondary College;Hawthorn;28
2018;549;Swinburne University of Technology TAFE Croydon;Croydon;0
2018;550;Sydney Road Community School;Brunswick;26
2018;551;Tallangatta Secondary College;Tallangatta;26
2018;552;Tarneit Senior College;Tarneit;25
2018;553;Taylors Lakes Secondary College;Taylors Lakes;26
2018;554;Templestowe College;Templestowe Lower;28
2018;555;Terang College Secondary Campus;Terang;28
2018;556;The Geelong College;Newtown;33
2018;557;The Grange P-12 College;Hoppers Crossing;28
2018;558;The Hamilton and Alexandra College;Hamilton;32
2018;559;The King David School;Armadale;35
2018;560;The Knox School;Wantirna South;32
2018;561;Theatre De La Danse;Brighton;N/A
2018;562;Thomas Carr College;Tarneit;27
2018;563;Thomastown Secondary College;Thomastown;24
2018;564;Thornbury High School;Thornbury;30
2018;565;Timboon P-12 School;Timboon;25
2018;566;Tintern Grammar;Ringwood East;32
2018;567;Toorak College;Mount Eliza;34
2018;568;Trafalgar High School;Trafalgar;27
2018;569;Traralgon College;Traralgon;24
2018;570;Trinity College;Colac;28
2018;571;Trinity Grammar School;Kew;35
2018;572;Tyrrell College;Sea Lake;28
2018;573;Ukrainian Community School;Noble Park;N/A
2018;574;University High School;Parkville;33
2018;575;Upper Yarra Secondary College;Yarra Junction;25
2018;576;Upwey High School;Upwey;26
2018;577;Vermont Secondary College;Vermont;31
2018;578;Victoria University of Technology TAFE Footscray;Footscray;21
2018;579;Victoria University Secondary College Brimbank Campus;St Albans;26
2018;580;Victorian College for the Deaf;Melbourne;0
2018;581;Victorian College of the Arts Secondary School;Southbank;33
2018;582;Victorian Tamil Association;Glen Waverley;N/A
2018;583;Victorian Virtual Learning Network;Bendigo;N/A
2018;584;Victory Christian College;Strathdale;29
2018;585;Victory Lutheran College;Wodonga;28
2018;586;Viewbank College;Viewbank;32
2018;587;VSL Altona North-Footscray-Sunshine-Ballarat;Thornbury;N/A
2018;588;VSL Box Hill-Blackburn-Doncaster;Thornbury;N/A
2018;589;VSL Croydon-Cobram-Shepparton-Bendigo-Warrnambool;Thornbury;N/A
2018;590;VSL Dandenong-Hampton Park-Berwick;Thornbury;N/A
2018;591;VSL Distance Education;Thornbury;N/A
2018;592;VSL Glen Waverley-Carwatha-Mildura;Thornbury;N/A
2018;593;VSL Keilor Downs-Creekside-Melton-Taylors Lakes-Gisborne-Craigieburn;Thornbury;N/A
2018;594;VSL North Geelong-Matthew Flinders-Werribee-Point Cook;Thornbury;N/A
2018;595;VSL Thomastown-Lalor-Roxburgh Park-Epping;Thornbury;N/A
2018;596;VSL Traralgon-Brentwood-Haileybury;Thornbury;N/A
2018;597;VSL University-Brunswick-Collingwood;Thornbury;N/A
2018;598;VSL Westall-South Oakleigh-McKinnon;Thornbury;N/A
2018;599;Wallan Secondary College;Wallan;22
2018;600;Wanganui Park Secondary College;Shepparton;27
2018;601;Wangaratta High School;Wangaratta;27
2018;602;Wantirna College;Wantirna;28
2018;603;Warracknabeal Secondary College;Warracknabeal;29
2018;604;Warragul Regional College;Warragul;27
2018;605;Warrandyte High School;Warrandyte;28
2018;606;Warrnambool College;Warrnambool;27
2018;607;Waverley Christian College Wantirna South;Wantirna South;33
2018;608;Wedderburn College;Wedderburn;27
2018;609;Wellington Secondary College;Mulgrave;29
2018;610;Werribee Secondary College;Werribee;30
2018;611;Werrimull P-12 School;Werrimull;26
2018;612;Wesley College Glen Waverley;Glen Waverley;32
2018;613;Wesley College St Kilda Rd;Melbourne;32
2018;614;Westall Secondary College;Clayton South;27
2018;615;Westbourne Grammar School;Truganina;34
2018;616;Western Chinese Language School Braybrook;Braybrook;N/A
2018;617;Western Heights College;Hamlyn Heights;24
2018;618;Western Port Secondary College;Hastings;25
2018;619;Western Senior Secondary College;West Melbourne;0
2018;620;Wheelers Hill Secondary College;Wheelers Hill;26
2018;621;Whitefriars College;Donvale;30
2018;622;Whittlesea Secondary College;Whittlesea;26
2018;623;William Angliss Institute of TAFE;Melbourne;0
2018;624;William Ruthven Secondary College;Reservoir;26
2018;625;Williamstown High School;Williamstown;32
2018;626;Wodonga Institute of TAFE;West Wodonga;0
2018;627;Wodonga Senior Secondary College;Wodonga;24
2018;628;Wonthaggi Secondary College;Wonthaggi;27
2018;629;Woodleigh School;Langwarrin South;31
2018;630;Woodmans Hill Secondary College;Ballarat East;24
2018;631;Wycheproof P-12 College;Wycheproof;31
2018;632;Wyndham Central Secondary College;Werribee;24
2018;633;Wyndham Community and Education Centre;Werribee;0
2018;634;Xavier College;Kew;34
2018;635;Xin Jin Shan Chinese Language and Culture School;Mount Waverley;N/A
2018;636;Yarra Hills Secondary College Mooroolbark;Mooroolbark;25
2018;637;Yarra Valley Grammar School;Ringwood;34
2018;638;Yarram Secondary College;Yarram;25
2018;639;Yarrawonga College P-12;Yarrawonga;26
2018;640;Yea High School;Yea;25
2018;641;Yeshivah College;St Kilda East;33
2018;642;Yesodei Hatorah College Secondary Campus;Ormond;34
2018;643;Yuille Park Community College;Wendouree;0
2019;1;Academy of Mary Immaculate;Fitzroy;31
2019;2;Adass Israel School Elsternwick;Elsternwick;0
2019;3;Advance College of Education;Rosebud;0
2019;4;Aitken College;Greenvale;29
2019;5;Al Siraat College;Epping;27
2019;6;Al-Taqwa College Islamic Schools of Vic;Truganina;27
2019;7;Albert Park College;Albert Park;31
2019;8;Albury Wodonga Community College;Wodonga;0
2019;9;Alexandra Secondary College;Alexandra;28
2019;10;Alia College;Hawthorn East;20
2019;11;Alice Miller School Macedon;Macedon;31
2019;12;Alkira Secondary College;Cranbourne North;28
2019;13;Alphington Grammar School;Alphington;32
2019;14;Antonine College Senior Campus;Pascoe Vale South;27
2019;15;Apollo Bay P-12 College;Apollo Bay;28
2019;16;Aquinas College;Ringwood;30
2019;17;Ararat College;Ararat;24
2019;18;Armenian Aginian School Surrey Hills;Surrey Hills;N/A
2019;19;Ashwood High School;Ashwood;30
2019;20;Assumption College;Kilmore;28
2019;21;Auburn High School;Hawthorn East;30
2019;22;Australian International Academy Coburg;North Coburg;23
2019;23;Austurk Saturday Turkish School;Gladstone Park;N/A
2019;24;Ave Maria College;Aberfeldie;33
2019;25;Avila College;Mount Waverley;32
2019;26;Bacchus Marsh College;Bacchus Marsh;26
2019;27;Bacchus Marsh Grammar;Bacchus Marsh;31
2019;28;Baimbridge College;Hamilton;22
2019;29;Bairnsdale Secondary College;Bairnsdale;23
2019;30;Balcombe Grammar School;Mount Martha;31
2019;31;Ballarat Christian College;Sebastopol;29
2019;32;Ballarat Clarendon College;Ballarat;39
2019;33;Ballarat Grammar School;Wendouree;32
2019;34;Ballarat High School;Ballarat;29
2019;35;Balmoral Community College;Balmoral;0
2019;36;Balwyn High School;Balwyn North;34
2019;37;Bayside Christian College;Langwarrin South;29
2019;38;Bayside College Paisley Campus;Newport;28
2019;39;Bayswater Secondary College;Bayswater;23
2019;40;Bayview College;Portland;28
2019;41;Beaconhills College Berwick;Berwick;29
2019;42;Beaconhills College Pakenham;Pakenham;30
2019;43;Beaufort Secondary College;Beaufort;26
2019;44;Beechworth Secondary College;Beechworth;25
2019;45;Belgrave Heights Christian School;Belgrave Heights;29
2019;46;Bellarine Secondary College;Drysdale;26
2019;47;Belmont High School;Belmont;28
2019;48;Benalla P-12 College;Benalla;24
2019;49;Bendigo Senior Secondary College;Bendigo;26
2019;50;Bendigo TAFE;Bendigo;0
2019;201;Glen Eira College;Caulfield East;30
2019;202;Glen Waverley Secondary College;Glen Waverley;33
2019;203;Gleneagles Secondary College;Endeavour Hills;27
2019;204;Glenroy Neighbourhood Centre;Glenroy;0
2019;205;Glenroy Secondary College;Glenroy;24
2019;206;Glenvale School Vic;Epping;30
2019;207;Good News Lutheran College;Tarneit;24
2019;208;Good Shepherd College;Hamilton;30
2019;209;Gordon Institute of TAFE;Geelong;21
2019;210;Goroke P-12 College;Goroke;34
2019;211;Goulburn Ovens Institute of TAFE;Shepparton;0
2019;212;Goulburn Valley Grammar School;Shepparton;33
2019;213;Great Future Chinese Culture School Inc;Preston;N/A
2019;214;Greek Orthodox Community of Melbourne and Victoria;Melbourne;N/A
2019;215;Greek Orthodox Community of Mentone and Districts;Mentone;N/A
2019;216;Greensborough Secondary College;Greensborough;26
2019;217;Grovedale College;Grovedale;25
2019;218;Haileybury Chengdu Shude High School;Chengdu, China;N/A
2019;219;Haileybury College;Keysborough;36
2019;220;Haileybury College Tianjin Campus;Tianjin, China;N/A
2019;221;Haileybury Girls College;Keysborough;36
2019;222;Haileybury Ningbo Li Hui Li High School;Ningbo, China;N/A
2019;223;Haileybury Qingdao No 19 High School;Qingdao, China;N/A
2019;224;Haileybury Rendall School;Berrimah, NT;28
2019;225;Haileybury Wuhan Foreign Language School;Wuhan, China;N/A
2019;226;Hallam Secondary College;Hallam;22
2019;227;Hampton Park Secondary College;Hampton Park;27
2019;228;Hawkesdale College;Hawkesdale;25
2019;229;Hazel Glen College;Doreen;29
2019;230;Healesville High School;Healesville;28
2019;231;Heathdale Christian College;Werribee;30
2019;232;Heatherton Christian College;Clarinda;30
2019;233;Heathmont College;Heathmont;26
2019;234;Heritage College Officer;Officer;28
2019;235;Hester Hornbrook Academy;Melbourne;0
2019;236;Heywood and District Secondary College;Heywood;26
2019;237;Highvale Secondary College;Glen Waverley;31
2019;238;Highview Christian Community College;Maryborough;26
2019;239;Hillcrest Christian College;Clyde North;29
2019;240;Holmes Secondary College;Melbourne;23
2019;241;Holmesglen Institute of TAFE Holmesglen;Chadstone;0
2019;242;Holmesglen Institute of TAFE Moorabbin;Moorabbin;0
2019;243;Holy Trinity Lutheran College;Horsham;26
2019;244;Hopetoun P-12 College;Hopetoun;18
2019;245;Hoppers Crossing Secondary College;Hoppers Crossing;28
2019;246;Horsham College;Horsham;28
2019;247;Hume Anglican Grammar;Mickleham;30
2019;248;Hume Central Secondary College Town Park;Broadmeadows;26
2019;249;Huntingtower School;Mount Waverley;37
2019;250;Ilim College Kiewa Campus Dallas;Dallas;25
2019;251;Ilim College of Australia;Broadmeadows;30
2019;252;Iranian Cultural School;Doncaster East;N/A
2019;253;Islamic College of Melbourne;Tarneit;28
2019;254;Islamic Community Milli Gorus Australia Foundation;Broadmeadows;N/A
2019;255;Ivanhoe Girls Grammar School;Ivanhoe;34
2019;256;Ivanhoe Grammar School Plenty;Doreen;33
2019;257;Ivanhoe Grammar School Ridgeway;Ivanhoe;34
2019;258;John Fawkner College;Fawkner;23
2019;259;John Monash Science School;Clayton;34
2019;260;John Paul College;Frankston;29
2019;261;Kambrya College;Berwick;30
2019;262;Kangan Institute of TAFE;Broadmeadows;17
2019;263;Kaniva P-12 College;Kaniva;29
2019;264;Kardinia International College;Bell Post Hill;32
2019;265;Karen Brigetta Crump School of Dance;Drouin;N/A
2019;266;Keilor Downs College;Keilor Downs;29
2019;267;Kensington Community High School;Kensington;0
2019;268;Kerang Christian College;Kerang;25
2019;269;Kerang Technical High School;Kerang;27
2019;270;Kew High School;Kew East;32
2019;271;Keysborough Secondary College Acacia;Keysborough;26
2019;272;Keysborough Secondary College Banksia;Springvale South;27
2019;273;Kilbreda College;Mentone;31
2019;274;Killester College;Springvale;31
2019;275;Kilvington Grammar School;Ormond;36
2019;276;Kings College;Warrnambool;32
2019;277;Kingswood College;Box Hill;32
2019;278;Kolbe Catholic College;Greenvale Lakes;26
2019;279;Koo Wee Rup Secondary College;Koo Wee Rup;28
2019;280;Koonung Secondary College;Mont Albert North;33
2019;281;Korean Language School of Melbourne;Prahran;N/A
2019;282;Korowa Anglican Girls School;Glen Iris;37
2019;283;Korumburra Secondary College;Korumburra;29
2019;284;Kurnai College Churchill Campus;Churchill;27
2019;285;Kurnai College University Campus;Churchill;N/A
2019;286;Kurunjang Secondary College;Melton;25
2019;287;Kyabram Secondary College;Kyabram;27
2019;288;Kyneton High School;Kyneton;27
2019;289;Lac Hong Vietnamese School Footscray;Footscray;N/A
2019;290;Lac Hong Vietnamese School St Albans;St Albans;N/A
2019;291;Lake Bolac College;Lake Bolac;0
2019;292;Lakes Entrance Secondary College;Lakes Entrance;30
2019;293;Lakeside Lutheran College;Pakenham;26
2019;294;Lakeview Senior College;Caroline Springs;29
2019;295;Lalor North Secondary College;Epping;26
2019;296;Lalor Secondary College;Lalor;25
2019;297;Lara Secondary College;Lara;24
2019;298;Lauriston Girls School;Armadale;35
2019;299;Lavalla Catholic College;Traralgon;28
2019;300;Laverton P-12 College;Laverton;23
2019;301;Leibler Yavneh College;Elsternwick;35
2019;302;Leongatha Secondary College;Leongatha;27
2019;303;Lighthouse Christian College;Keysborough;31
2019;304;Lighthouse Christian College Cranbourne;Cranbourne;30
2019;305;Lilydale Heights College;Lilydale;25
2019;306;Lilydale High School;Lilydale;29
2019;307;Little Yarra Steiner School;Yarra Junction;0
2019;308;Loreto College;Ballarat;31
2019;309;Loreto Mandeville Hall;Toorak;36
2019;310;Lorne P-12 College;Lorne;25
2019;311;Lowanna College;Newborough;25
2019;312;Lowther Hall Anglican Grammar School;Essendon;34
2019;313;Loyola College;Watsonia;31
2019;314;Luther College;Croydon Hills;32
2019;315;Lynall Hall Community School;Richmond;0
2019;316;Lyndale Secondary College;Dandenong North;26
2019;317;Lyndhurst Secondary College;Cranbourne;27
2019;318;MacKillop Catholic Regional College;Werribee;30
2019;319;Macleod College;Macleod;26
2019;320;Macrobertson Girls High School;Melbourne;37
2019;321;Maffra Secondary College;Maffra;27
2019;322;Mallacoota P-12 College;Mallacoota;38
2019;323;Manangatang P-12 College;Manangatang;28
2019;324;Manor Lakes P-12 College;Wyndham Vale;24
2019;325;Mansfield Secondary College;Mansfield;26
2019;326;Maranatha Christian School;Endeavour Hills;30
2019;327;Marcellin College;Bulleen;31
2019;328;Marian College Ararat;Ararat;26
2019;329;Marian College Myrtleford;Myrtleford;31
2019;330;Marian College Sunshine West;Sunshine West;29
2019;331;Maribyrnong Secondary College;Maribyrnong;29
2019;332;Marist College Bendigo;Maiden Gully;28
2019;333;Marist Sion College;Warragul;30
2019;334;Mary MacKillop Catholic College;Leongatha;28
2019;335;Maryborough Education Centre;Maryborough;28
2019;336;Marymede Catholic College;South Morang;30
2019;337;Mater Christi College;Belgrave;31
2019;338;Matthew Flinders Girls Secondary College;Geelong;26
2019;339;Mazenod College;Mulgrave;32
2019;340;McClelland Secondary College;Frankston;29
2019;341;McGuire College;Shepparton;23
2019;342;McKinnon Secondary College;McKinnon;33
2019;343;Melba Secondary College;Croydon;28
2019;344;Melbourne City Mission;South Melbourne;0
2019;345;Melbourne Girls College;Richmond;33
2019;346;Melbourne Girls Grammar;South Yarra;34
2019;347;Melbourne Grammar School;Melbourne;35
2019;348;Melbourne High School;South Yarra;36
2019;349;Melbourne International School of Japanese;Oakleigh South;N/A
2019;350;Melbourne Polytechnic;Preston;0
2019;351;Melbourne Rudolf Steiner School;Warranwood;29
2019;352;Melbourne Swedish Community School Association;Toorak;N/A
2019;353;Melton Christian College;Brookfield;26
2019;354;Melton Secondary College;Melton;28
2019;355;Mentone Girls Grammar School;Mentone;35
2019;356;Mentone Girls Secondary College;Mentone;30
2019;357;Mentone Grammar School;Mentone;35
2019;358;Mercy College;Coburg;30
2019;359;Mercy Regional College;Camperdown;27
2019;360;Merinda Park Learning Centre;Cranbourne North;0
2019;361;Methodist Ladies College;Kew;35
2019;362;Mildura Senior College;Mildura;27
2019;363;Mill Park Secondary College;Epping;24
2019;364;Minaret College Officer;Officer;30
2019;365;Minaret College Springvale;Springvale;27
2019;366;Mirboo North Secondary College;Mirboo North;27
2019;367;Monbulk College;Monbulk;27
2019;368;Monivae College;Hamilton;28
2019;369;Monterey Secondary College;Frankston North;25
2019;370;Montmorency Secondary College;Montmorency;29
2019;371;Mooroolbark College;Mooroolbark;28
2019;372;Mooroopna Secondary College;Mooroopna;22
2019;373;Mordialloc College;Mordialloc;29
2019;374;Mornington Secondary College;Mornington;26
2019;375;Mortlake College;Mortlake;27
2019;376;Mount Alexander 7-12 College;Flemington;27
2019;377;Mount Beauty Secondary College;Mount Beauty;26
2019;378;Mount Clear College;Mount Clear;26
2019;379;Mount Eliza Secondary College;Mount Eliza;28
2019;380;Mount Erin College;Frankston South;28
2019;381;Mount Evelyn Christian School;Mount Evelyn;29
2019;382;Mount Hira College;Keysborough;25
2019;383;Mount Lilydale Mercy College;Lilydale;29
2019;384;Mount Ridley P-12 College;Craigieburn;25
2019;385;Mount Rowan Secondary College;Wendouree;26
2019;386;Mount Scopus Memorial College;Burwood;38
2019;387;Mount St Joseph Girls College;Altona;31
2019;388;Mount Waverley Secondary College;Mount Waverley;32
2019;389;Mountain District Christian School;Monbulk;27
2019;390;Mountain District Learning Centre;Ferntree Gully;0
2019;391;Mullauna College;Mitcham;29
2019;392;Murrayville Community College;Murrayville;27
2019;393;Murtoa P-12 College;Murtoa;28
2019;394;Myrtleford P-12 College;Myrtleford;31
2019;395;Nagle College;Bairnsdale;29
2019;396;Narre Warren South P-12 College;Narre Warren South;32
2019;397;Nathalia Secondary College;Nathalia;22
2019;398;Nazareth College;Noble Park North;29
2019;399;Neerim District Secondary College;Neerim South;29
2019;400;New Century Chinese Language School;Burwood East;N/A
2019;401;New Chinese Language and Culture School Thornbury;Thornbury;N/A
2019;402;Newcomb Secondary College;Newcomb;23
2019;403;Newhaven College;Rhyll;30
2019;404;Nhill College;Nhill;27
2019;405;No 1 Senior Middle School of No 1 Machinery Group;Baotou, Inner Mongolia;N/A
2019;406;Noble Park Secondary College;Noble Park;25
2019;407;North Geelong Secondary College;Geelong North;26
2019;408;North Melbourne Grammar College;North Melbourne;15
2019;409;Northcote High School;Northcote;30
2019;410;Northern Bay P-12 College;Corio;21
2019;411;Northern College of Arts and Technology;Preston;27
2019;412;Northside Christian College;Bundoora;30
2019;413;Norwood Secondary College;Ringwood;29
2019;414;Nossal High School;Berwick;35
2019;415;Notre Dame College;Shepparton;28
2019;416;Numurkah Secondary College;Numurkah;22
2019;417;Nunawading Christian College;Nunawading;33
2019;418;Oakleigh Grammar;Oakleigh;30
2019;419;Oakwood School;Caulfield North;0
2019;420;Oberon High School;Armstrong Creek;29
2019;421;Officer Secondary College;Officer;26
2019;422;Orbost Secondary College;Orbost;27
2019;423;Our Lady of Mercy College;Heidelberg;33
2019;424;Our Lady of Sacred Heart College;Bentleigh;32
2019;425;Our Lady of Sion College;Box Hill;33
2019;426;Ouyen Secondary College;Ouyen;27
2019;427;Overnewton Anglican College;Keilor;30
2019;428;Oxley Christian College;Chirnside Park;32
2019;429;Ozford College;Melbourne;22
2019;430;Padua College;Mornington;30
2019;431;Pakenham Secondary College;Pakenham;26
2019;432;Parade College;Bundoora;31
2019;433;Parkdale Secondary College;Mordialloc;30
2019;434;Parkville College;Parkville;0
2019;435;Pascoe Vale Girls Secondary College;Pascoe Vale;27
2019;436;Patterson River Secondary College;Seaford;25
2019;437;Peninsula Grammar;Mount Eliza;34
2019;438;Peninsula Grammar Heze No 1 Middle School;Shandong, China;N/A
2019;439;Peninsula Grammar Nanjing Experimental School;Nanjing, China;N/A
2019;440;Peninsula Grammar Pudong Foreign Language School;Shanghai, China;N/A
2019;441;Peninsula Grammar Zhengzhou Foreign Language School;Zhengzhou, China;N/A
2019;442;Penleigh and Essendon Grammar School;Keilor East;35
2019;443;Penola Catholic College;Broadmeadows;28
2019;444;Peter Lalor Secondary College;Lalor;0
2019;445;Phoenix P-12 Community College;Sebastopol;27
2019;446;Pines Learning;Doncaster East;0
2019;447;Plenty Valley Christian College;Doreen;30
2019;448;Point Cook Senior Secondary College;Point Cook;28
2019;449;Portland Secondary College;Portland;27
2019;450;Presbyterian Ladies College;Burwood;35
2019;451;Presentation College;Windsor;30
2019;452;Preston Reservoir Adult Community Education;Reservoir;0
2019;453;Princes Hill Secondary College;Princes Hill;32
2019;454;Protypo Greek Centre;Oakleigh;N/A
2019;455;Rainbow P-12 College;Rainbow;29
2019;456;Red Cliffs Secondary College;Red Cliffs;22
2019;457;Reservoir High School;Reservoir;27
2019;458;Ringwood Secondary College;Ringwood;30
2019;459;River Nile School;North Melbourne;0
2019;460;RMIT TAFE;Melbourne;25
2019;461;Robinvale College;Robinvale;26
2019;462;Rochester Secondary College;Rochester;27
2019;463;Rosebud Secondary College;Rosebud;28
2019;464;Rosehill Secondary College;Niddrie;29
2019;465;Rowville Secondary College;Rowville;26
2019;466;Roxburgh College;Roxburgh Park;26
2019;467;Rushworth P-12 College;Rushworth;22
2019;468;Rutherglen High School;Rutherglen;26
2019;469;Ruyton Girls School;Kew;36
2019;470;Sacre Coeur;Glen Iris;35
2019;471;Sacred Heart College Geelong;Newtown;32
2019;472;Sacred Heart College Kyneton;Kyneton;30
2019;473;Sacred Heart College Yarrawonga;Yarrawonga;28
2019;474;Sacred Heart Girls College;Hughesdale;32
2019;475;Saint Ignatius College;Drysdale;30
2019;476;Sale College;Sale;26
2019;477;Salesian College Chadstone;Chadstone;31
2019;478;Salesian College Sunbury;Sunbury;29
2019;479;Sandringham College;Sandringham;30
2019;480;Santa Maria College;Northcote;31
2019;481;Scoresby Secondary College;Scoresby;27
2019;482;Scotch College;Hawthorn;35
2019;483;SEDA College;Hawthorn East;0
2019;484;Seymour College;Seymour;27
2019;485;Shelford Girls Grammar;Caulfield;36
2019;486;Shepparton Adult and Community Education;Shepparton;0
2019;487;Shepparton Christian College;Shepparton;27
2019;488;Shepparton High School;Shepparton;23
2019;489;Sherbrooke Community School;Sassafras;26
2019;490;Siena College;Camberwell;33
2019;491;Simonds Catholic College;Fitzroy North;30
2019;492;Sirius College Broadmeadows Campus;Broadmeadows;31
2019;493;Sirius College Dandenong Campus;Keysborough;30
2019;494;Sirius College Meadow Fair Campus;Broadmeadows;32
2019;495;Skillsplus;Frankston;0
2019;496;Somerville Secondary College;Somerville;24
2019;497;South Oakleigh Secondary College;Oakleigh South;28
2019;498;South West Institute of TAFE;Warrnambool;0
2019;499;Southern Cross Grammar;Caroline Springs;32
2019;500;Southern Grampians Adult Education;Hamilton;0
2019;501;Springside West Secondary College;Fraser Rise;26
2019;502;Springvale Indo-Chinese Ethnic School Inc.;Springvale South;N/A
2019;503;St Albans Secondary College;St Albans;29
2019;504;St Aloysius College;North Melbourne;32
2019;505;St Andrews Christian College;Wantirna South;31
2019;506;St Arnaud Secondary College;St Arnaud;25
2019;507;St Augustines College;Kyabram;25
2019;508;St Bedes College;Mentone;30
2019;509;St Bernards College;Essendon;30
2019;510;St Brigids College;Horsham;29
2019;511;St Catherines School;Toorak;35
2019;512;St Columbas College;Essendon;32
2019;513;St Dimitrios Greek School;Moonee Ponds;N/A
2019;514;St Francis Xavier College;Beaconsfield;29
2019;515;St Helena Secondary College;Eltham North;29
2019;516;St Johns Greek Orthodox College;Preston;27
2019;517;St Johns Regional College;Dandenong;25
2019;518;St Josephs College Echuca;Echuca;28
2019;519;St Josephs College Ferntree Gully;Ferntree Gully;30
2019;520;St Josephs College Geelong;Newtown;31
2019;521;St Josephs College Mildura;Mildura;30
2019;522;St Kevins College;Toorak;36
2019;523;St Leonards College;Brighton East;33
2019;524;St Margarets Berwick Grammar Berwick Campus;Berwick;34
2019;525;St Margarets Berwick Grammar Officer Campus;Officer;32
2019;526;St Mary MacKillop College;Swan Hill;29
2019;527;St Mary of the Angels College;Nathalia;29
2019;528;St Marys Coptic Orthodox College;Coolaroo;29
2019;529;St Michaels Grammar School;St Kilda;32
2019;530;St Monicas College;Epping;30
2019;531;St Patricks College;Ballarat;29
2019;532;St Pauls Anglican Grammar School;Warragul;32
2019;533;St Peters College;Cranbourne;27
2019;534;St Thomas Aquinas College;Tynong;24
2019;535;Star of the Sea College;Brighton;35
2019;536;Staughton College;Melton South;27
2019;537;Stawell Secondary College;Stawell;23
2019;538;Stonnington School of Dance;Murrumbeena;N/A
2019;539;Stotts Colleges Melbourne;Melbourne;22
2019;540;Strathcona Girls Grammar School;Canterbury;36
2019;541;Strathmore Secondary College;Strathmore;31
2019;542;Sunbury College;Sunbury;26
2019;543;Sunbury Downs Secondary College;Sunbury;30
2019;544;Sunraysia Institute of TAFE;Mildura;0
2019;545;Sunshine College;Sunshine West;29
2019;546;Surf Coast Secondary College;Torquay;28
2019;547;Suzanne Cory High School;Werribee;34
2019;548;Swan Hill College;Swan Hill;26
2019;549;Swifts Creek P-12 School;Swifts Creek;22
2019;550;Swinburne Senior Secondary College;Hawthorn;27
2019;551;Swinburne University of Technology TAFE Croydon;Croydon;24
2019;552;Sydney Road Community School;Brunswick;20
2019;553;Tallangatta Secondary College;Tallangatta;27
2019;554;Tarneit Senior College;Tarneit;24
2019;555;Taylors Lakes Secondary College;Taylors Lakes;25
2019;556;Templestowe College;Templestowe Lower;29
2019;557;Terang College Secondary Campus;Terang;27
2019;558;The Centre;Wangaratta;0
2019;559;The Geelong College;Newtown;33
2019;560;The Grange P-12 College;Hoppers Crossing;26
2019;561;The Hamilton and Alexandra College;Hamilton;31
2019;562;The King David School;Armadale;36
2019;563;The Knox School;Wantirna South;32
2019;564;The Pushkin Lyceum Russian Community School;Elwood;N/A
2019;565;Thomas Carr College;Tarneit;27
2019;566;Thomas Carr College Hailiang Foreign Language School;Zhejiang, China;N/A
2019;567;Thomastown Secondary College;Thomastown;27
2019;568;Thornbury High School;Thornbury;31
2019;569;Timboon P-12 School;Timboon;27
2019;570;Tintern Grammar;Ringwood East;31
2019;571;Toorak College;Mount Eliza;34
2019;572;Trafalgar High School;Trafalgar;26
2019;573;Traralgon College;Traralgon;26
2019;574;Trinity College;Colac;28
2019;575;Trinity Grammar School;Kew;36
2019;576;Tyrrell College;Sea Lake;31
2019;577;University High School;Parkville;32
