Year;Rank;School;Location;Median_VCE_Score
2012;369;Mountain District Learning Centre;Ferntree Gully;19
2012;370;Mowbray College Melton;Melton;N/A
2012;371;Mowbray College Town Centre;Caroline Springs;N/A
2012;372;Mullauna College;Mitcham;28
2012;373;Murrayville Community College;Murrayville;24
2012;374;Murtoa P-12 College;Murtoa;29
2012;375;Myrtleford P-12 College;Myrtleford;25
2012;376;Nagle College;Bairnsdale;30
2012;377;Narre Community Learning Centre;Narre Warren;0
2012;378;Narre Warren South P-12 College;Narre Warren South;31
2012;379;Nathalia Secondary College;Nathalia;25
2012;380;Nazareth College;Noble Park North;28
2012;381;Neerim District Secondary College;Neerim South;29
2012;382;Nestor Greek College Brunswick;Brunswick;N/A
2012;383;New Century Chinese Language School;Burwood East;N/A
2012;384;New Chinese Language and Culture School Patterson Lakes;Patterson Lakes;N/A
2012;385;Newcomb Secondary College;Newcomb;26
2012;386;Newhaven College;Rhyll;30
2012;387;Nhill College;Nhill;29
2012;388;Noble Park Secondary College;Noble Park;24
2012;389;North Geelong Secondary College;Geelong North;24
2012;390;Northcote High School;Northcote;30
2012;391;Northern Bay P-12 College;Corio;23
2012;392;Northern College of Arts and Technology;Preston;23
2012;393;Northern Melbourne Institute of TAFE;Preston;0
2012;394;Northside Christian College;Bundoora;28
2012;395;Norwood Secondary College;Ringwood;30
2012;396;Nossal High School;Berwick;37
2012;397;Notre Dame College;Shepparton;29
2012;398;Numurkah Secondary College;Numurkah;23
2012;399;Nunawading Christian College;Nunawading;31
2012;400;Oakleigh Grammar;Oakleigh;27
2012;401;Oberon High School;Armstrong Creek;29
2012;402;Omiros College Oakleigh South;Oakleigh South;N/A
2012;403;Orbost Secondary College;Orbost;25
2012;404;Otway Community College;Colac;0
2012;405;Our Lady of Mercy College;Heidelberg;33
2012;406;Our Lady of Sacred Heart College;Bentleigh;32
2012;407;Our Lady of Sion College;Box Hill;33
2012;408;Ouyen Secondary College;Ouyen;29
2012;409;Overnewton Anglican College;Keilor;30
2012;410;Oxley Christian College;Chirnside Park;32
2012;411;Ozford College;Melbourne;25
2012;412;Padua College;Mornington;29
2012;413;Pakenham Secondary College;Pakenham;24
2012;414;Parade College;Bundoora;31
2012;415;Parish of St Vasilios Brunswick Greek Language School;Brunswick;N/A
2012;416;Parkdale Secondary College;Mordialloc;29
2012;417;Parkwood Secondary College;Ringwood North;27
2012;418;Pascoe Vale Girls Secondary College;Pascoe Vale;29
2012;419;Patterson River Secondary College;Seaford;27
2012;420;Peninsula Grammar;Mount Eliza;33
2012;421;Peninsula Grammar Nanjing Foreign Language School;Nanjing, China;N/A
2012;422;Penleigh and Essendon Grammar School;Keilor East;36
2012;423;Penola Catholic College;Broadmeadows;28
2012;424;Peter Lalor Secondary College;Lalor;0
2012;425;Peter Wallace Dance;Pascoe Vale;N/A
2012;426;Phoenix P-12 Community College;Sebastopol;26
2012;427;Plenty Valley Christian College;Doreen;30
2012;428;Point Cook Senior Secondary College;Point Cook;27
2012;429;Portland Secondary College;Portland;27
2012;430;Prahran Community Learning Centre;Prahran;0
2012;431;Presbyterian Ladies College;Burwood;36
2012;432;Presentation College;Windsor;31
2012;433;Preshil The Margaret Lyttle Memorial School;Kew;29
2012;434;Preston Girls Secondary College;Preston;26
2012;435;Preston Reservoir Adult Community Education;Reservoir;0
